Agent#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.5,0.5,0.7302091892544558,0.751269454705745,0.7733619712001452,0.7857578797586066,0.7762006770438372,0.769116100645372,0.7616396048067007,0.7489667646944423,0.7499191419871616,0.7489008050553396,0.7531148518208638,0.7369016602614327,0.7424867628842231,0.7199395186373241,0.7188438865282135,0.7182636820111467,0.710165715858827,0.7101057378373186,0.7075325174521037,0.7078306418708216,0.7085315952823878,0.718934397603735,0.7316435612399829,0.7350150489321549,0.7355111360786737,0.7278317750859447,0.7283580914328263,0.7209029942950934,0.7225468485370357,0.7310380258001812,0.7274423539747896,0.7240223983093328,0.7149395867392833,0.7107397375968285,0.7115582360449006,0.7091504992803046,0.7044385184270919,0.704626755675971,0.7080657524010688,0.7062783668619816,0.7055911178617609,0.7026609108987871,0.7057611523406522,0.6981175348580808,0.7129298798801579,0.7142988808560417,0.7227071176930512,0.7248373326632738,0.7252582191853434,0.7262853386665995,0.7265109521283692,0.7266662456523669,0.7196936923192725,0.7070521342658607,0.7114359005004456,0.7139786973557123,0.7202709163061073,0.7220008805088913,0.730921904439322,0.7330053430531456,0.7216047362966949,0.7280063272882762,0.739799391162712,0.7539370233435352,0.7483079040265364,0.7456945521502387,0.751691509552733,0.7559268249861969,0.7625265337351318,0.7729348605693197,0.774685566296934,0.7815768557881161,0.7801764551573365,0.7811585512510134,0.7786199299456222,0.7807314106271656,0.7760097555181988,0.7725456067584251
1,0.5,0.5,0.5,0.6534456529707031,0.6403357614564434,0.6410261600322449,0.6271107936688957,0.6423343765250917,0.6314776946958773,0.6276033923461863,0.6571767900368546,0.6671744333457496,0.6710966521052517,0.6692022814987029,0.6543715665015151,0.6604757849413607,0.6585629859280908,0.674108585685486,0.6744960944229659,0.6767143977014264,0.6743687220182089,0.6740365185086856,0.6413540471838006,0.6508648228892198,0.6509744837630769,0.6514334444116231,0.6514023651409604,0.6762151304680566,0.6962045274769357,0.6951939610140272,0.7000006295497521,0.715515790628154,0.7265911524284832,0.7252775087901862,0.7329400753969502,0.7330689052911765,0.7340351046670851,0.7361442951049413,0.7423924081958713,0.7446483713396359,0.746268295359958,0.7453930312904296,0.7495972523420213,0.7522668169049648,0.7518701980736495,0.7630861255340916,0.7600868353768754,0.7615262418572961,0.7639204455278449,0.7648791950165796,0.7628721054429896,0.77324166988653,0.773538852263093,0.8007996815400897,0.8049600963008129,0.8066204506569873,0.8056627038667954,0.805275746423051,0.7946923997539531,0.7870437971620415,0.7767714378836472,0.778954847483498,0.759126655171377,0.7494146017207601,0.7335743001381178,0.7335208750498468,0.7324848931794471,0.7297352505842971,0.7320253769223535,0.7387305660835459,0.737259226334392,0.7405267727763318,0.7408595296521245,0.7407354892373323,0.7328458945635621,0.7343317222378578,0.7368512069278601,0.7415455616269113,0.7481738796937005,0.743957246735983
2,0.5,0.5073529411764706,0.6362266161133426,0.6694282375212859,0.6708171722749517,0.6840821035930904,0.6802331212129024,0.6933275394055071,0.6528983747915256,0.6523579301658544,0.6653890334275265,0.6668568285465017,0.6729794917839462,0.6897627637258662,0.699049425296812,0.7001789670873606,0.6975319501323354,0.695225039979706,0.7111583393730553,0.7135750085603412,0.7106003002132986,0.7107350434173352,0.7116215357651636,0.7141879570647314,0.7215101439105778,0.7310607419569963,0.7309012483959232,0.730445921523588,0.7308568766911384,0.7301572778355079,0.7317615633809421,0.7323876013357646,0.7408148363569742,0.7402615992068893,0.7403101884449426,0.7407913450294514,0.7410413021263635,0.7375818061036459,0.7360991751295931,0.749836045088898,0.7389006810766363,0.7451320670480228,0.7460336907153597,0.7511268950473602,0.743114570814992,0.7418000852123994,0.7450726649171702,0.7473662268574506,0.7600482896552291,0.7541968997734341,0.7384692355994633,0.7500584832680665,0.7502282038408419,0.7452800452291388,0.7465254018446068,0.7434246501974084,0.7210082071391786,0.7190071124537472,0.714096715144893,0.720503452824613,0.7209214946289549,0.7254655995190464,0.7244456909220889,0.7221728188565805,0.7257978704071348,0.7248226143756586,0.7267740344474407,0.7226315097526235,0.7262508280320426,0.7251999651701296,0.7186975890241194,0.7264622372756956,0.7222663730942857,0.7127069575701127,0.7031615301331673,0.7109773826682512,0.7133451718443489,0.7130909539109958,0.7129472402777539,0.7042604321376429
3,0.5,0.4545454545454546,0.49217941402815835,0.617965471936818,0.6105302019800571,0.6408046438692436,0.6199257191824812,0.6242256711030492,0.6551329238298789,0.6507596545585285,0.6676561902342362,0.6692718759985017,0.6740692400086845,0.6736990452134355,0.6562923298182711,0.6626153644247457,0.6755863572127537,0.6860641559755177,0.6778830927310269,0.6892827728305005,0.697755645478167,0.6973188246567426,0.6983298173001383,0.7043430388732135,0.7043132567872812,0.7046408129591417,0.7049624358940548,0.7048297645645712,0.7054854121761868,0.7031696143098741,0.7047953549214953,0.706165363657168,0.715434949154309,0.7345080573277396,0.7325141638471452,0.7347154326838183,0.7350353635616522,0.7371419601433182,0.7208956856347455,0.7175876346760115,0.7147231652138253,0.7008673004648855,0.7024581403289951,0.7028171292733113,0.702254622236341,0.7131568743331897,0.7109726523780925,0.7051098588293416,0.6993066839463109,0.7265995020215895,0.7174874288494535,0.7043233986139162,0.7056292605395614,0.7079390815517312,0.7026826394228609,0.7055749888782321,0.7048269548110959,0.7140980815649473,0.7139156658498524,0.7141189202798331,0.7181268591114243,0.7164526733892741,0.7177601115200187,0.7225038277641944,0.7258458289048322,0.7294779743180468,0.7243810339962753,0.7221440661196976,0.7242328452504639,0.7317857824588134,0.7305855411956436,0.7401329960236267,0.7608315108597482,0.7512940564519428,0.7495135644439854,0.761915158086397,0.7538962683904524,0.7537571609849834,0.7549116890453575,0.7535667713633684
4,0.5,0.5833333333333334,0.6830637671381052,0.6728375976506589,0.6727090833493881,0.6687270047564231,0.686641108440127,0.6927066315411883,0.7046560878436758,0.7026559802076555,0.7036269961807438,0.705488552850791,0.7090528933844993,0.7168042257900105,0.7212504255031442,0.7255227000468608,0.7232086157664797,0.7223616531052641,0.7286788434053024,0.7242816501377598,0.72215538756158,0.7222259955044643,0.7227481648567537,0.7229347724330847,0.7297997180166785,0.7300260090941149,0.7390447370415387,0.739464946448416,0.7398178167934493,0.7397585474274084,0.7413462807989013,0.7428202537327067,0.748769093929629,0.7553653808999156,0.7596825635882609,0.7699029181393626,0.7818542704770941,0.7813442509695128,0.7800911111710536,0.7786265554300529,0.7534582360654672,0.7551509901499042,0.7555025298616084,0.7559399135029399,0.7533967098983558,0.7509932864042431,0.7310697931846155,0.7234386802077031,0.7266426997133919,0.7229226018706998,0.7090002400012743,0.7102430747541704,0.7103320659357134,0.7104647652695302,0.7243911760329269,0.71872588867089,0.7218242989475592,0.7215093283746208,0.7166513047612169,0.7175688496016368,0.7181311630378209,0.7170096968904986,0.7162964365044608,0.7136440636425494,0.7071620968413374,0.7066352238287311,0.6880022701723407,0.6853422516451309,0.6920227516187962,0.6906855060455934,0.689275652006099,0.7142223310667513,0.7157096324133896,0.7119886781769039,0.7106042501907512,0.7120353277585305,0.7214619966153382,0.7441339837392267,0.7563092256084358,0.7628937041347362
5,0.5,0.5,0.5,0.5,0.5,0.7177508104836468,0.696141556341846,0.7016944736424436,0.7024523642408098,0.6999092797599147,0.700358126283965,0.6661248682565917,0.6698154561185208,0.6690071183423137,0.6868524259701353,0.6917847994013272,0.7163081439293288,0.719203882414942,0.7191373932682252,0.7211070833349742,0.7188118974657174,0.71818933028587,0.7145968453728229,0.7109444003561776,0.6947793901620403,0.7128518505155125,0.7126462621619566,0.7066827791000867,0.7062042703518343,0.7059411490824061,0.7075150566387947,0.7084872638762159,0.7111171978774267,0.7102508863553645,0.7072386479888575,0.7109144917379999,0.7033086162233904,0.705218359377799,0.7038342397347175,0.7082390359198373,0.7170706543414526,0.715541286205602,0.7252870150518772,0.7254087739679815,0.7250025219240185,0.7211476870246978,0.719169433309453,0.7129458915514246,0.7124606977140435,0.7138955258295516,0.7121543486010287,0.7132387480146722,0.7061632357449267,0.7066856342320457,0.7183827860255663,0.7319131411024913,0.7215081657922029,0.7330093786456853,0.7264339251187324,0.7281340009964301,0.7363259324711839,0.7378904888165961,0.7375928713203485,0.7354047208700953,0.7387474881483945,0.7450442257932428,0.7510736047386142,0.770794371028,0.7666074520431441,0.7656489597947729,0.7650637046432922,0.7630890371786442,0.7657255799030063,0.7650029515212173,0.7632813545266416,0.7708952332791779,0.7821668654806355,0.7814032359580688,0.7806040800023045,0.7792893476198908
6,0.5,0.5,0.5,0.5,0.7512844328237968,0.7577250187412912,0.7641002740424075,0.7772007879280747,0.7693183736574504,0.7679584964058419,0.7690233036587154,0.7703457380993963,0.772999885088669,0.7726636180094872,0.7761767342985072,0.7863253620592613,0.7790583194627841,0.7780993892797426,0.7822793655235548,0.783966348380482,0.7697442526675158,0.7541076884988295,0.7551604584465625,0.7557043645685679,0.7561199266557558,0.7560296498944876,0.7632496712756848,0.7632476838838691,0.756202668494991,0.7570398448453644,0.761961412624196,0.7670646248034977,0.769615989214198,0.768505895562319,0.7684369856182446,0.7694012139643788,0.7714695639087924,0.7711214276017537,0.7665151392256364,0.7686465362411304,0.7700175760295875,0.7684655022378788,0.7696295406309019,0.7723711281461578,0.7715668106404261,0.7689853621817844,0.7474638044633406,0.7492238051724779,0.7648418363846118,0.7601310694894443,0.7584340988014815,0.7632134867790215,0.7696309874355407,0.7718086831223665,0.7726744025149863,0.778875388824938,0.7788377647294223,0.7729893191864461,0.7731117651251356,0.7791233030427387,0.7791472115565619,0.7746776751481583,0.7685108749802209,0.7665823518152742,0.7695269309224133,0.7689957899736868,0.7705835782932775,0.7659419816136542,0.7677529502877126,0.7610373715018577,0.7549680175196822,0.7461604601705197,0.7484045737050298,0.7437870021732802,0.73847768306844,0.7445335453818377,0.7300130827506446,0.7440482388366766,0.7437283212663843,0.7356382755532513
7,0.5,0.625,0.6976316621856713,0.7568003811233699,0.7730445739007754,0.7882310142958969,0.7492559417876374,0.7452825573961119,0.7387170681480387,0.7365626717701395,0.7338191821393292,0.7378971899131543,0.7515990468886913,0.7552151477737034,0.7579419548902,0.7621747600043389,0.7607137352197564,0.7552704040062168,0.7560720010988711,0.765067286698013,0.7628867881649215,0.762718112539265,0.7601680488336187,0.7607086959932629,0.76071096299777,0.7606056855566861,0.7619813183099419,0.7620437900464363,0.7623984146115343,0.7619533635747695,0.770857487676613,0.7717802373763359,0.7695142552121175,0.7702356477578157,0.769034247721695,0.7579200642405385,0.7590245809281748,0.7710493259884819,0.7733673686608948,0.7758455870405179,0.7767782110953636,0.7689193835072855,0.767489211508883,0.7555182195826328,0.7487238027833591,0.7466449435527258,0.7445002372542937,0.7557076379636303,0.7601341437888844,0.7619562580351239,0.7418252485969206,0.7436826575798514,0.7442705341936635,0.7448002071163478,0.7456460474315397,0.7365376753067763,0.7392837144439446,0.7350293824460045,0.731354391883475,0.7266318411135386,0.7275616091356054,0.7215616934609852,0.7212422955069047,0.7144221274224145,0.7182827432515988,0.7081894639321129,0.7123357287379184,0.7096829536822356,0.707450547216353,0.7143950081169168,0.7127160791232141,0.7226612970113726,0.7285257044572141,0.7278975097012096,0.7293581230916366,0.7362572035520445,0.7383476382329741,0.7377885008727105,0.7264512593483812,0.7243068303761602
8,0.5,0.5,0.5,0.5,0.7703636506507323,0.6887288509920169,0.6779233816206527,0.6852938189004052,0.7200466698323116,0.6719726037689432,0.6751972618851988,0.6756729305361655,0.6801153608379422,0.6891619695014006,0.6927766254227491,0.6973742395694816,0.695893005826126,0.6950286670493309,0.7045516517768401,0.7072496448045913,0.7127363337754472,0.7131785925346856,0.7079024945266708,0.714518099984309,0.7153319742520835,0.7158851571484905,0.7163059812233946,0.7139027188886433,0.7145414746531482,0.7181511704132151,0.7196576447039414,0.7287989878818226,0.7357204209715228,0.7350046486000367,0.736164991055347,0.7394703982313515,0.7495311409154111,0.7515364403974976,0.7500094302426001,0.7477289153935868,0.7619468233889055,0.7606627368038149,0.7622934714312364,0.7604048640414482,0.7532621833639127,0.7454293958427352,0.739805190488957,0.7381357701573864,0.740296082101142,0.7391816274553927,0.74256793939276,0.7343432262648226,0.7378608904007768,0.7415638273550726,0.7402482489068017,0.7476609430098211,0.7467093690413651,0.7454977249924979,0.7434554238187072,0.7438458035907716,0.7469720525528512,0.7506431913452469,0.7453089442962375,0.7396282682234832,0.7433420076492667,0.7414225186134995,0.739828108505153,0.7405129193312938,0.7358250810838605,0.7290151675579322,0.7352259724945764,0.7440885789689807,0.7417238156995023,0.7408931662325774,0.7437190029112839,0.7489072462233837,0.7543635379059344,0.7549445988009438,0.761597756849534,0.7624721100586435
9,0.5,0.5,0.6498777691337196,0.681065741748145,0.6750185520175455,0.6736356145098659,0.6323214630807932,0.6408872471163383,0.6298073735353502,0.6442450121373218,0.653864477613747,0.6553297733552536,0.7035309177821081,0.6868931955053585,0.7165980151632239,0.7199056310152891,0.7240682162990967,0.7237678976696719,0.7311938827125213,0.7333580882653161,0.7310576560319366,0.7310859084871957,0.7245656485502983,0.7291312082175558,0.725847762561151,0.7173077115372208,0.7179721391655285,0.7248131088068559,0.7252448881294007,0.7247404342649459,0.7348296586065097,0.7393941636972257,0.7423137023272308,0.7467300564617525,0.7467259115023575,0.7347400606394823,0.7389781341668331,0.7467343876137114,0.7452900278446568,0.7532660124741467,0.760959299906225,0.7624130449575045,0.7640566068274679,0.7557594570433415,0.7618846331878635,0.7500391068523625,0.756888927370339,0.7596361013953711,0.7629388341643457,0.7612400769792984,0.7593592501981608,0.7602902091966726,0.7560111101601547,0.761162071885075,0.7611866749479759,0.7577085671908625,0.7696144771913972,0.7673734434680073,0.7642284482878208,0.7644888615956429,0.7727436795989095,0.7638694767159168,0.759133774027697,0.7568781544875225,0.7538152264711597,0.7534619592141891,0.7691586464977516,0.765081682702214,0.7589966412865966,0.7585369221835133,0.7574170958775035,0.7553750342291023,0.7572371752799044,0.7564958402037512,0.7449473427571321,0.7457725612607877,0.7413061949793771,0.7298278795572939,0.7241476721115636,0.7176391288688735
